"Comparison1" "Comparison2" "HumanPred"
"1" "o10_t1_cs_d1" "o10_t1_cs_d2" 0.857142857142857
"2" "o10_t1_cs_d1" "o10_t2_mf_d1" 0.466666666666667
"3" "o10_t1_cs_d1" "o10_t2_mf_d2" 0.153846153846154
"4" "o10_t1_cs_d1" "o10_t2_rp_d1" 0.333333333333333
"5" "o10_t1_cs_d1" "o10_t2_rp_d2" 0.333333333333333
"6" "o10_t1_cs_d2" "o10_t2_mf_d1" 0.25
"7" "o10_t1_cs_d2" "o10_t2_mf_d2" 0.4
"8" "o10_t1_cs_d2" "o10_t2_rp_d1" 0.555555555555556
"9" "o10_t1_cs_d2" "o10_t2_rp_d2" 0.333333333333333
"12" "o10_t2_ap_d1" "o10_t2_ap_d2" 0.888888888888889
"13" "o10_t2_ap_d1" "o10_t2_mf_d1" 0.307692307692308
"14" "o10_t2_ap_d1" "o10_t2_mf_d2" 0.4
"15" "o10_t2_ap_d1" "o10_t2_rp_d1" 0.416666666666667
"16" "o10_t2_ap_d1" "o10_t2_rp_d2" 0.4
"19" "o10_t2_ap_d2" "o10_t2_mf_d1" 0
"20" "o10_t2_ap_d2" "o10_t2_mf_d2" 0.125
"21" "o10_t2_ap_d2" "o10_t2_rp_d1" 0.133333333333333
"22" "o10_t2_ap_d2" "o10_t2_rp_d2" 0
"23" "o10_t2_mf_d1" "o10_t2_mf_d2" 0.454545454545455
"24" "o10_t2_mf_d1" "o10_t2_rp_d1" 0.454545454545455
"25" "o10_t2_mf_d1" "o10_t2_rp_d2" 0.428571428571429
"26" "o10_t2_mf_d2" "o10_t2_rp_d1" 0.5
"27" "o10_t2_mf_d2" "o10_t2_rp_d2" 0.571428571428571
"28" "o10_t2_rp_d1" "o10_t2_rp_d2" 0.125
"29" "o1_t1_cs_d1" "o1_t1_cs_d2" 0.133333333333333
"30" "o1_t1_cs_d1" "o1_t2_mf_d1" 0.833333333333333
"31" "o1_t1_cs_d1" "o1_t2_mf_d2" 0.1875
"32" "o1_t1_cs_d1" "o1_t2_rp_d1" 0.875
"33" "o1_t1_cs_d1" "o1_t2_rp_d2" 0.818181818181818
"34" "o1_t1_cs_d2" "o1_t2_mf_d1" 1
"35" "o1_t1_cs_d2" "o1_t2_mf_d2" 0.909090909090909
"36" "o1_t1_cs_d2" "o1_t2_rp_d1" 0.846153846153846
"37" "o1_t1_cs_d2" "o1_t2_rp_d2" 1
"40" "o1_t2_ap_d1" "o1_t2_ap_d2" 0.25
"41" "o1_t2_ap_d1" "o1_t2_mf_d1" 0.923076923076923
"42" "o1_t2_ap_d1" "o1_t2_mf_d2" 0.363636363636364
"43" "o1_t2_ap_d1" "o1_t2_rp_d1" 0.916666666666667
"44" "o1_t2_ap_d1" "o1_t2_rp_d2" 0.777777777777778
"47" "o1_t2_ap_d2" "o1_t2_mf_d1" 1
"48" "o1_t2_ap_d2" "o1_t2_mf_d2" 0.642857142857143
"49" "o1_t2_ap_d2" "o1_t2_rp_d1" 0.6
"50" "o1_t2_ap_d2" "o1_t2_rp_d2" 0.909090909090909
"51" "o1_t2_mf_d1" "o1_t2_mf_d2" 0
"52" "o1_t2_mf_d1" "o1_t2_rp_d1" 0.363636363636364
"53" "o1_t2_mf_d1" "o1_t2_rp_d2" 0.444444444444444
"54" "o1_t2_mf_d2" "o1_t2_rp_d1" 1
"55" "o1_t2_mf_d2" "o1_t2_rp_d2" 1
"56" "o1_t2_rp_d1" "o1_t2_rp_d2" 0.2
"57" "o2_t1_cs_d1" "o2_t1_cs_d2" 0
"58" "o2_t1_cs_d1" "o2_t2_mf_d1" 0.0714285714285714
"59" "o2_t1_cs_d1" "o2_t2_mf_d2" 0.0833333333333333
"60" "o2_t1_cs_d1" "o2_t2_rp_d1" 0.833333333333333
"61" "o2_t1_cs_d1" "o2_t2_rp_d2" 0.0909090909090909
"62" "o2_t1_cs_d2" "o2_t2_mf_d1" 0.4375
"63" "o2_t1_cs_d2" "o2_t2_mf_d2" 0.727272727272727
"64" "o2_t1_cs_d2" "o2_t2_rp_d1" 0.818181818181818
"65" "o2_t1_cs_d2" "o2_t2_rp_d2" 0.75
"68" "o2_t2_ap_d1" "o2_t2_ap_d2" 0.25
"69" "o2_t2_ap_d1" "o2_t2_mf_d1" 0.333333333333333
"70" "o2_t2_ap_d1" "o2_t2_mf_d2" 0.181818181818182
"71" "o2_t2_ap_d1" "o2_t2_rp_d1" 0.555555555555556
"72" "o2_t2_ap_d1" "o2_t2_rp_d2" 0.333333333333333
"75" "o2_t2_ap_d2" "o2_t2_mf_d1" 0.5
"76" "o2_t2_ap_d2" "o2_t2_mf_d2" 0.666666666666667
"77" "o2_t2_ap_d2" "o2_t2_rp_d1" 1
"78" "o2_t2_ap_d2" "o2_t2_rp_d2" 0.8
"79" "o2_t2_mf_d1" "o2_t2_mf_d2" 0.625
"80" "o2_t2_mf_d1" "o2_t2_rp_d1" 0.923076923076923
"81" "o2_t2_mf_d1" "o2_t2_rp_d2" 0.785714285714286
"82" "o2_t2_mf_d2" "o2_t2_rp_d1" 1
"83" "o2_t2_mf_d2" "o2_t2_rp_d2" 0.538461538461538
"84" "o2_t2_rp_d1" "o2_t2_rp_d2" 0.0833333333333333
"85" "o3_t1_cs_d1" "o3_t1_cs_d2" 0
"86" "o3_t1_cs_d1" "o3_t2_mf_d1" 0
"87" "o3_t1_cs_d1" "o3_t2_mf_d2" 0.0588235294117647
"88" "o3_t1_cs_d1" "o3_t2_rp_d1" 0.307692307692308
"89" "o3_t1_cs_d1" "o3_t2_rp_d2" 0
"90" "o3_t1_cs_d2" "o3_t2_mf_d1" 0.2
"91" "o3_t1_cs_d2" "o3_t2_mf_d2" 0.133333333333333
"92" "o3_t1_cs_d2" "o3_t2_rp_d1" 0.875
"93" "o3_t1_cs_d2" "o3_t2_rp_d2" 0.5
"96" "o3_t2_ap_d1" "o3_t2_ap_d2" 0.133333333333333
"97" "o3_t2_ap_d1" "o3_t2_mf_d1" 0
"98" "o3_t2_ap_d1" "o3_t2_mf_d2" 0
"99" "o3_t2_ap_d1" "o3_t2_rp_d1" 0.555555555555556
"100" "o3_t2_ap_d1" "o3_t2_rp_d2" 0
"103" "o3_t2_ap_d2" "o3_t2_mf_d1" 0.777777777777778
"104" "o3_t2_ap_d2" "o3_t2_mf_d2" 0.636363636363636
"105" "o3_t2_ap_d2" "o3_t2_rp_d1" 1
"106" "o3_t2_ap_d2" "o3_t2_rp_d2" 1
"107" "o3_t2_mf_d1" "o3_t2_mf_d2" 0.166666666666667
