"Model" "Accuracy" "Accuracy_SD" "Correct" "Correct_SD" "Accuracy_High" "Accuracy_High_SD" "Correct_High" "Correct_High_SD"
"1" "PB_SingleView" 0.582142857142857 0.0298356728836103 163 8.30621048169881 0.616666666666667 0.0440932897712501 74 5.2914768839906
"2" "I3D_pcomp" 0.635714285714286 0.0285938575492859 178 7.86844495202079 0.666666666666667 0.0434369374274026 80 5.16355557276927
"3" "I3D_ptarget" 0.646428571428571 0.0285357420239576 181 7.8347980050471 0.725 0.0410549823435848 87 4.97758293913401
"4" "I3D_pavg" 0.617857142857143 0.0298150343983334 173 8.01760637634469 0.7 0.0421392402175976 84 4.91140152425621
"5" "I3D_pcomp_MAP" 0.692857142857143 0.0272440537764089 194 7.69397676037526 0.8 0.0360199139811954 96 4.44909282477695
"6" "I3D_ptarget_MAP" 0.664285714285714 0.0279047710651894 186 8.0762501761928 0.741666666666667 0.0397425446650816 89 4.81808903933868
"7" "I3D_pavg_MAP" 0.682142857142857 0.027379043486033 191 7.64903424377426 0.808333333333333 0.0359523703776739 97 4.3964909093683
"8" "I3D_pcomp_w" 0.632142857142857 0.0284093720552308 177 8.06485560614534 0.716666666666667 0.0408665360597598 86 4.96857145980367
"9" "I3D_ptarget_w" 0.667857142857143 0.0279868534524115 187 7.81116194144237 0.733333333333333 0.0392978997260427 88 4.8231992884068
"10" "I3D_pavg_w" 0.621428571428571 0.028597027230322 174 8.28650210031526 0.708333333333333 0.0416964867445298 85 4.9754928162326
"11" "I3D_pcomp_MAP_w" 0.692857142857143 0.0274983234961066 194 7.90360216696202 0.816666666666667 0.0350823837661332 98 4.2880728520388
"12" "I3D_ptarget_MAP_w" 0.685714285714286 0.0278679015972499 192 7.75512028890253 0.783333333333333 0.0383027796179759 94 4.53414492877296
"13" "I3D_pavg_MAP_w" 0.696428571428571 0.0270226038384936 195 7.57823533716212 0.825 0.0351478943243 99 4.23844938941275
"14" "I3D_pcomp_GT" 0.757142857142857 0.0252511553805282 212 7.28631202471187 0.866666666666667 0.030926461174505 104 3.75753287099904
"15" "I3D_ptarget_GT" 0.685714285714286 0.027865166776354 192 7.6649915719392 0.791666666666667 0.037375290335884 95 4.46168590003098
"16" "I3D_pavg_GT" 0.707142857142857 0.0275576206079866 198 7.53738574320838 0.841666666666667 0.0334346633919925 101 4.09211579819693
"17" "AlexNet_conv1" 0.557142857142857 0.0288563201214641 156 8.37914649878041 0.55 0.0468090948604334 66 5.44479548733921
"18" "AlexNet_conv2" 0.546428571428571 0.0292538210073824 153 8.33655017284681 0.566666666666667 0.0452783602696073 68 5.40057189919912
"19" "AlexNet_conv3" 0.557142857142857 0.0293425540808037 156 8.24354995180498 0.516666666666667 0.0433414423987422 62 5.42931143989325
"20" "AlexNet_conv4" 0.546428571428571 0.0308572136906761 153 8.31248208594849 0.5 0.0457284913643697 60 5.47225079509174
"21" "AlexNet_conv5" 0.557142857142857 0.0296653202805628 156 8.45897021442588 0.508333333333333 0.0455576430818319 61 5.46147460420958
"22" "AlexNet_fc6" 0.592857142857143 0.0290955332921445 166 8.20128706696561 0.566666666666667 0.0458153276136316 68 5.38698408655292
"23" "AlexNet_fc7" 0.564285714285714 0.0300377245343702 158 8.37508930163764 0.575 0.0447108868535326 69 5.36841388902178
"24" "AlexNet_fc8" 0.539285714285714 0.0299563609445594 151 8.3905321800904 0.55 0.0436347756511778 66 5.51395407985933
"25" "AlexNet_norm1" 0.560714285714286 0.0295855409036096 157 8.13780043365214 0.583333333333333 0.0447662081886179 70 5.31517841288328
"26" "AlexNet_norm2" 0.557142857142857 0.0291711074400707 156 8.32882479172216 0.541666666666667 0.0456226338868993 65 5.43434870273444
"27" "AlexNet_pool1" 0.567857142857143 0.0304270697499348 159 8.34142130603067 0.591666666666667 0.0435308379866136 71 5.36189201149851
"28" "AlexNet_pool2" 0.578571428571429 0.0299661067742571 162 8.43950310185992 0.566666666666667 0.0456449925378787 68 5.39506692484549
"29" "AlexNet_pool5" 0.582142857142857 0.0289084496553453 163 8.11801360077767 0.533333333333333 0.0448336060447584 64 5.41544395840575
"30" "AlexNet_prob" 0.621428571428571 0.0288944699142307 174 8.11764818811785 0.733333333333333 0.0393435156029413 88 4.95172402152954
