      Comparison1   Comparison2  AlexNet_conv1  AlexNet_conv2  AlexNet_conv3  AlexNet_conv4  AlexNet_conv5  AlexNet_fc6  AlexNet_fc7  AlexNet_fc8  AlexNet_norm1  AlexNet_norm2  AlexNet_pool1  AlexNet_pool2  AlexNet_pool5  AlexNet_prob
0    o10_t1_cs_d1  o10_t1_cs_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
1    o10_t1_cs_d1  o10_t2_ap_d1              0              0              0              0              0            1            0            0              0              0              0              0              0             1
2    o10_t1_cs_d1  o10_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
3    o10_t1_cs_d1  o10_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
4    o10_t1_cs_d1  o10_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
5    o10_t1_cs_d1  o10_t2_rp_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
6    o10_t1_cs_d1  o10_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
7    o10_t1_cs_d2  o10_t2_ap_d1              0              0              0              0              1            1            1            1              0              0              0              0              0             1
8    o10_t1_cs_d2  o10_t2_ap_d2              1              0              0              0              1            0            1            1              0              0              1              0              0             1
9    o10_t1_cs_d2  o10_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
10   o10_t1_cs_d2  o10_t2_mf_d2              1              0              0              0              1            1            1            1              0              0              1              0              0             0
11   o10_t1_cs_d2  o10_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
12   o10_t1_cs_d2  o10_t2_rp_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             1
13   o10_t2_ap_d1  o10_t2_ap_d2              1              1              1              1              0            0            0            0              1              1              1              1              0             1
14   o10_t2_ap_d1  o10_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
15   o10_t2_ap_d1  o10_t2_mf_d2              1              1              1              1              0            0            0            0              1              1              1              1              1             0
16   o10_t2_ap_d1  o10_t2_rp_d1              1              1              1              1              1            0            0            0              1              1              1              1              1             1
17   o10_t2_ap_d1  o10_t2_rp_d2              0              1              1              1              0            0            0            0              1              1              1              1              0             0
18   o10_t2_ap_d2  o10_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
19   o10_t2_ap_d2  o10_t2_mf_d2              0              0              1              1              1            1            1            0              0              1              0              1              1             0
20   o10_t2_ap_d2  o10_t2_rp_d1              0              1              1              1              1            1            1            0              1              1              0              1              1             0
21   o10_t2_ap_d2  o10_t2_rp_d2              0              0              0              0              0            1            1            0              0              0              0              0              1             0
22   o10_t2_mf_d1  o10_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
23   o10_t2_mf_d1  o10_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
24   o10_t2_mf_d1  o10_t2_rp_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
25   o10_t2_mf_d2  o10_t2_rp_d1              0              1              1              1              1            1            0            1              1              1              0              1              1             1
26   o10_t2_mf_d2  o10_t2_rp_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             1
27   o10_t2_rp_d1  o10_t2_rp_d2              0              0              0              0              0            0            1            1              0              0              0              0              0             0
28    o1_t1_cs_d1   o1_t1_cs_d2              0              0              0              0              0            0            0            1              0              0              0              0              0             0
29    o1_t1_cs_d1   o1_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
30    o1_t1_cs_d1   o1_t2_ap_d2              1              1              0              0              0            0            0            0              1              0              1              0              0             0
31    o1_t1_cs_d1   o1_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
32    o1_t1_cs_d1   o1_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
33    o1_t1_cs_d1   o1_t2_rp_d1              0              0              0              0              0            0            1            1              0              0              0              0              0             0
34    o1_t1_cs_d1   o1_t2_rp_d2              0              0              1              1              1            0            0            0              1              1              1              0              1             0
35    o1_t1_cs_d2   o1_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
36    o1_t1_cs_d2   o1_t2_ap_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             0
37    o1_t1_cs_d2   o1_t2_mf_d1              0              1              1              1              1            1            1            0              1              1              0              1              1             1
38    o1_t1_cs_d2   o1_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
39    o1_t1_cs_d2   o1_t2_rp_d1              0              1              1              1              1            1            1            1              1              1              1              1              1             1
40    o1_t1_cs_d2   o1_t2_rp_d2              1              1              1              1              1            1            1            0              1              1              1              1              1             0
41    o1_t2_ap_d1   o1_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
42    o1_t2_ap_d1   o1_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
43    o1_t2_ap_d1   o1_t2_mf_d2              1              1              1              0              0            0            0            1              1              1              1              0              0             0
44    o1_t2_ap_d1   o1_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
45    o1_t2_ap_d1   o1_t2_rp_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
46    o1_t2_ap_d2   o1_t2_mf_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
47    o1_t2_ap_d2   o1_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
48    o1_t2_ap_d2   o1_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
49    o1_t2_ap_d2   o1_t2_rp_d2              0              0              1              1              1            1            1            0              0              1              0              1              1             1
50    o1_t2_mf_d1   o1_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
51    o1_t2_mf_d1   o1_t2_rp_d1              1              1              1              0              0            1            1            1              0              1              1              1              0             1
52    o1_t2_mf_d1   o1_t2_rp_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             0
53    o1_t2_mf_d2   o1_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
54    o1_t2_mf_d2   o1_t2_rp_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
55    o1_t2_rp_d1   o1_t2_rp_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             0
56    o2_t1_cs_d1   o2_t1_cs_d2              0              0              0              1              0            0            0            0              0              0              1              0              0             0
57    o2_t1_cs_d1   o2_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
58    o2_t1_cs_d1   o2_t2_ap_d2              1              1              1              1              1            0            0            0              1              1              1              1              1             0
59    o2_t1_cs_d1   o2_t2_mf_d1              0              0              0              1              1            0            0            0              0              0              0              0              0             0
60    o2_t1_cs_d1   o2_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
61    o2_t1_cs_d1   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
62    o2_t1_cs_d1   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
63    o2_t1_cs_d2   o2_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
64    o2_t1_cs_d2   o2_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
65    o2_t1_cs_d2   o2_t2_mf_d1              0              1              1              1              1            0            1            1              1              1              0              1              0             1
66    o2_t1_cs_d2   o2_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
67    o2_t1_cs_d2   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
68    o2_t1_cs_d2   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
69    o2_t2_ap_d1   o2_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
70    o2_t2_ap_d1   o2_t2_mf_d1              0              1              1              1              1            1            1            1              1              1              1              1              1             1
71    o2_t2_ap_d1   o2_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
72    o2_t2_ap_d1   o2_t2_rp_d1              0              0              1              1              1            1            1            1              1              1              0              1              1             1
73    o2_t2_ap_d1   o2_t2_rp_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             1
74    o2_t2_ap_d2   o2_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
75    o2_t2_ap_d2   o2_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
