"Model" "Accuracy" "Accuracy_SD" "Correct" "Correct_SD" "Accuracy_High" "Accuracy_High_SD" "Correct_High" "Correct_High_SD"
"1" "PB_SingleView" 0.582142857142857 0.0296555360625901 163 8.31075460298495 0.616666666666667 0.0446255363780234 74 5.15370974270535
"2" "I3D_pcomp" 0.610714285714286 0.0285527801286585 171 8.15733473967003 0.683333333333333 0.0434813499852196 82 4.99956914101584
"3" "I3D_ptarget" 0.696428571428571 0.0276589405998259 195 7.63916698247218 0.808333333333333 0.0356102223084231 97 4.22459496298765
"4" "I3D_pavg" 0.721428571428571 0.0267460018506743 202 7.54874769719441 0.866666666666667 0.0318380170498232 104 3.75100120034672
"5" "I3D_pcomp_MAP" 0.607142857142857 0.0297305945443008 170 8.11477052974237 0.691666666666667 0.0419887002961465 83 5.21997922328679
"6" "I3D_ptarget_MAP" 0.689285714285714 0.0268283198163434 193 7.93597401657767 0.791666666666667 0.0378265394955945 95 4.43352896568239
"7" "I3D_pavg_MAP" 0.696428571428571 0.0274402273109056 195 7.66538681851991 0.825 0.0343269816738294 99 4.20419045223683
"8" "I3D_pcomp_w" 0.603571428571429 0.0290027383529039 169 8.24886292890177 0.675 0.0419241815135504 81 5.25667614296677
"9" "I3D_ptarget_w" 0.703571428571429 0.0276547950129982 197 7.82136078903768 0.816666666666667 0.0350173156365767 98 4.21554612886424
"10" "I3D_pavg_w" 0.714285714285714 0.0267796555119164 200 7.42214550328515 0.858333333333333 0.0315881724535999 103 3.88142148141092
"11" "I3D_pcomp_MAP_w" 0.610714285714286 0.0301876618834667 171 8.24853968611879 0.691666666666667 0.0409333934814414 83 5.0256946339065
"12" "I3D_ptarget_MAP_w" 0.689285714285714 0.0273473188448252 193 7.86318374319777 0.791666666666667 0.0364870916735016 95 4.36858298062762
"13" "I3D_pavg_MAP_w" 0.696428571428571 0.0265018144642244 195 7.70180944222474 0.825 0.0345261782326511 99 4.17987268560107
"14" "I3D_pcomp_GT" 0.757142857142857 0.0255890456775055 212 7.15284646880549 0.866666666666667 0.0317654805648623 104 3.6887392356433
"15" "I3D_ptarget_GT" 0.685714285714286 0.0272604652630073 192 7.58465762349447 0.791666666666667 0.0364282478477832 95 4.66170135033765
"16" "I3D_pavg_GT" 0.707142857142857 0.027328189986123 198 7.44951700795601 0.841666666666667 0.0329687741242505 101 3.96701252130266
"17" "AlexNet_conv1" 0.557142857142857 0.0294829043495662 156 8.2539890457635 0.55 0.044750087101194 66 5.3939138066043
"18" "AlexNet_conv2" 0.546428571428571 0.0293537659202378 153 8.56546328756742 0.566666666666667 0.0455587030021422 68 5.41063538206178
"19" "AlexNet_conv3" 0.557142857142857 0.0299539124487355 156 8.40473174812135 0.516666666666667 0.046389256669459 62 5.54264552896267
"20" "AlexNet_conv4" 0.546428571428571 0.0307019053005066 153 8.29144004314055 0.5 0.0455916521286118 60 5.57561824010393
"21" "AlexNet_conv5" 0.557142857142857 0.0296792520516102 156 8.40157943594591 0.508333333333333 0.0453639637269405 61 5.40713691012003
"22" "AlexNet_fc6" 0.592857142857143 0.0292543368483845 166 8.3297714582258 0.566666666666667 0.0453043685407562 68 5.46111993234517
"23" "AlexNet_fc7" 0.564285714285714 0.0292496677741782 158 8.21601091879197 0.575 0.0444581581927003 69 5.32288846123845
"24" "AlexNet_fc8" 0.539285714285714 0.0298384051234679 151 8.38038062319933 0.55 0.0464554043195158 66 5.40664920980074
"25" "AlexNet_norm1" 0.560714285714286 0.0295745888315516 157 8.30084351144513 0.583333333333333 0.0454945832025375 70 5.46906448427577
"26" "AlexNet_norm2" 0.557142857142857 0.0301233477106854 156 8.37269675943855 0.541666666666667 0.0460520263094089 65 5.42689721265092
"27" "AlexNet_pool1" 0.567857142857143 0.0293779540668475 159 8.27598294445128 0.591666666666667 0.0445480688953459 71 5.35313955091083
"28" "AlexNet_pool2" 0.578571428571429 0.0299029917974575 162 8.05153733001893 0.566666666666667 0.0453752289266348 68 5.36864481723151
"29" "AlexNet_pool5" 0.582142857142857 0.0286947011939796 163 8.13183216422803 0.533333333333333 0.0459445601141182 64 5.41659863478781
"30" "AlexNet_prob" 0.621428571428571 0.0285906504696866 174 8.43564912072829 0.733333333333333 0.0396795111276518 88 4.88449466619343
"31" "GoogLeNet_conv2.norm2" 0.528571428571429 0.030209039855031 148 8.4428284168185 0.525 0.0464850133903564 63 5.53106464327113
"32" "GoogLeNet_inception_3a.output" 0.564285714285714 0.0305742946899632 158 8.41833179169588 0.55 0.0445219434152726 66 5.3489685671507
"33" "GoogLeNet_inception_3b.output" 0.567857142857143 0.0298939942852191 159 8.33595476360749 0.55 0.0463007250373702 66 5.51197740810625
"34" "GoogLeNet_inception_4a.output" 0.535714285714286 0.0298668897751027 150 8.32288309070065 0.458333333333333 0.043888919648808 55 5.47227895108238
"35" "GoogLeNet_inception_4b.output" 0.542857142857143 0.0289158424126897 152 8.07984857385881 0.483333333333333 0.0472942213350198 58 5.36760182247736
"36" "GoogLeNet_inception_4c.output" 0.535714285714286 0.0299539249635774 150 8.49365775806016 0.475 0.0462796457167181 57 5.41627692957893
"37" "GoogLeNet_inception_4d.output" 0.560714285714286 0.0291707297370113 157 8.035309209797 0.533333333333333 0.0449630680453367 64 5.63506758995593
"38" "GoogLeNet_inception_4e.output" 0.582142857142857 0.0292997412430255 163 8.36457572525539 0.566666666666667 0.046182783375363 68 5.34583358498552
"39" "GoogLeNet_inception_5a.output" 0.639285714285714 0.0287950141263486 179 7.72743991654622 0.641666666666667 0.0431147384658121 77 5.36410130323764
"40" "GoogLeNet_inception_5b.output" 0.632142857142857 0.0294688138210468 177 8.17296755770813 0.683333333333333 0.0431292565982848 82 5.09775416715777
"41" "GoogLeNet_loss3.classifier" 0.617857142857143 0.0284558478313539 173 8.11197237408381 0.641666666666667 0.0440678306157783 77 5.32567107378902
"42" "GoogLeNet_pool1.norm1" 0.575 0.0294035146043912 161 8.33450212747327 0.583333333333333 0.044933387902808 70 5.20624130003951
"43" "GoogLeNet_pool3.3x3_s2" 0.557142857142857 0.0303667815987538 156 8.42010681935952 0.525 0.0447514409517885 63 5.42207187629562
"44" "GoogLeNet_pool4.3x3_s2" 0.589285714285714 0.0291799732258196 165 8.2684692532473 0.583333333333333 0.0445865180285035 70 5.43705108604436
"45" "GoogLeNet_pool5.7x7_s1" 0.617857142857143 0.029052372688429 173 7.93919860169895 0.658333333333333 0.0441715343984613 79 5.11828813537479
"46" "GoogLeNet_prob" 0.603571428571429 0.0294741160466749 169 8.15894111757647 0.658333333333333 0.0438580731990909 79 5.19094815244389
"47" "VP" 0.582142857142857 0.0309720490038435 163 8.16770992951797 0.658333333333333 0.0431919003143561 79 5.23270277573355
