"Comparison1" "Comparison2" "PB_SingleView_Prediction"
"1" "o1_t1_cs_d1" "o1_t1_cs_d2" 0
"2" "o1_t1_cs_d1" "o1_t2_mf_d1" 0
"3" "o1_t1_cs_d1" "o1_t2_mf_d2" 0
"4" "o1_t1_cs_d1" "o1_t2_ap_d1" 0
"5" "o1_t1_cs_d1" "o1_t2_ap_d2" 0
"6" "o1_t1_cs_d1" "o1_t2_rp_d1" 0
"7" "o1_t1_cs_d1" "o1_t2_rp_d2" 1
"8" "o1_t1_cs_d2" "o1_t1_cs_d1" 1
"9" "o1_t1_cs_d2" "o1_t2_mf_d1" 1
"10" "o1_t1_cs_d2" "o1_t2_mf_d2" 0
"11" "o1_t1_cs_d2" "o1_t2_ap_d1" 0
"12" "o1_t1_cs_d2" "o1_t2_ap_d2" 1
"13" "o1_t1_cs_d2" "o1_t2_rp_d1" 1
"14" "o1_t1_cs_d2" "o1_t2_rp_d2" 1
"15" "o1_t2_mf_d1" "o1_t1_cs_d1" 1
"16" "o1_t2_mf_d1" "o1_t1_cs_d2" 0
"17" "o1_t2_mf_d1" "o1_t2_mf_d2" 0
"18" "o1_t2_mf_d1" "o1_t2_ap_d1" 0
"19" "o1_t2_mf_d1" "o1_t2_ap_d2" 1
"20" "o1_t2_mf_d1" "o1_t2_rp_d1" 0
"21" "o1_t2_mf_d1" "o1_t2_rp_d2" 1
"22" "o1_t2_mf_d2" "o1_t1_cs_d1" 1
"23" "o1_t2_mf_d2" "o1_t1_cs_d2" 1
"24" "o1_t2_mf_d2" "o1_t2_mf_d1" 1
"25" "o1_t2_mf_d2" "o1_t2_ap_d1" 0
"26" "o1_t2_mf_d2" "o1_t2_ap_d2" 1
"27" "o1_t2_mf_d2" "o1_t2_rp_d1" 1
"28" "o1_t2_mf_d2" "o1_t2_rp_d2" 1
"29" "o1_t2_ap_d1" "o1_t1_cs_d1" 1
"30" "o1_t2_ap_d1" "o1_t1_cs_d2" 1
"31" "o1_t2_ap_d1" "o1_t2_mf_d1" 1
"32" "o1_t2_ap_d1" "o1_t2_mf_d2" 1
"33" "o1_t2_ap_d1" "o1_t2_ap_d2" 1
"34" "o1_t2_ap_d1" "o1_t2_rp_d1" 1
"35" "o1_t2_ap_d1" "o1_t2_rp_d2" 1
"36" "o1_t2_ap_d2" "o1_t1_cs_d1" 1
"37" "o1_t2_ap_d2" "o1_t1_cs_d2" 0
"38" "o1_t2_ap_d2" "o1_t2_mf_d1" 0
"39" "o1_t2_ap_d2" "o1_t2_mf_d2" 0
"40" "o1_t2_ap_d2" "o1_t2_ap_d1" 0
"41" "o1_t2_ap_d2" "o1_t2_rp_d1" 0
"42" "o1_t2_ap_d2" "o1_t2_rp_d2" 1
"43" "o1_t2_rp_d1" "o1_t1_cs_d1" 1
"44" "o1_t2_rp_d1" "o1_t1_cs_d2" 0
"45" "o1_t2_rp_d1" "o1_t2_mf_d1" 1
"46" "o1_t2_rp_d1" "o1_t2_mf_d2" 0
"47" "o1_t2_rp_d1" "o1_t2_ap_d1" 0
"48" "o1_t2_rp_d1" "o1_t2_ap_d2" 1
"49" "o1_t2_rp_d1" "o1_t2_rp_d2" 1
"50" "o1_t2_rp_d2" "o1_t1_cs_d1" 0
"51" "o1_t2_rp_d2" "o1_t1_cs_d2" 0
"52" "o1_t2_rp_d2" "o1_t2_mf_d1" 0
"53" "o1_t2_rp_d2" "o1_t2_mf_d2" 0
"54" "o1_t2_rp_d2" "o1_t2_ap_d1" 0
"55" "o1_t2_rp_d2" "o1_t2_ap_d2" 0
"56" "o1_t2_rp_d2" "o1_t2_rp_d1" 0
"57" "o2_t1_cs_d1" "o2_t1_cs_d2" 0
"58" "o2_t1_cs_d1" "o2_t2_mf_d1" 0
"59" "o2_t1_cs_d1" "o2_t2_mf_d2" 0
"60" "o2_t1_cs_d1" "o2_t2_ap_d1" 0
"61" "o2_t1_cs_d1" "o2_t2_ap_d2" 1
"62" "o2_t1_cs_d1" "o2_t2_rp_d1" 0
"63" "o2_t1_cs_d1" "o2_t2_rp_d2" 0
"64" "o2_t1_cs_d2" "o2_t1_cs_d1" 1
"65" "o2_t1_cs_d2" "o2_t2_mf_d1" 1
"66" "o2_t1_cs_d2" "o2_t2_mf_d2" 0
"67" "o2_t1_cs_d2" "o2_t2_ap_d1" 0
"68" "o2_t1_cs_d2" "o2_t2_ap_d2" 1
"69" "o2_t1_cs_d2" "o2_t2_rp_d1" 0
"70" "o2_t1_cs_d2" "o2_t2_rp_d2" 0
"71" "o2_t2_mf_d1" "o2_t1_cs_d1" 1
"72" "o2_t2_mf_d1" "o2_t1_cs_d2" 0
"73" "o2_t2_mf_d1" "o2_t2_mf_d2" 0
"74" "o2_t2_mf_d1" "o2_t2_ap_d1" 0
"75" "o2_t2_mf_d1" "o2_t2_ap_d2" 1
"76" "o2_t2_mf_d1" "o2_t2_rp_d1" 0
"77" "o2_t2_mf_d1" "o2_t2_rp_d2" 0
"78" "o2_t2_mf_d2" "o2_t1_cs_d1" 1
"79" "o2_t2_mf_d2" "o2_t1_cs_d2" 1
"80" "o2_t2_mf_d2" "o2_t2_mf_d1" 1
"81" "o2_t2_mf_d2" "o2_t2_ap_d1" 0
"82" "o2_t2_mf_d2" "o2_t2_ap_d2" 1
"83" "o2_t2_mf_d2" "o2_t2_rp_d1" 1
"84" "o2_t2_mf_d2" "o2_t2_rp_d2" 0
"85" "o2_t2_ap_d1" "o2_t1_cs_d1" 1
"86" "o2_t2_ap_d1" "o2_t1_cs_d2" 1
"87" "o2_t2_ap_d1" "o2_t2_mf_d1" 1
"88" "o2_t2_ap_d1" "o2_t2_mf_d2" 1
"89" "o2_t2_ap_d1" "o2_t2_ap_d2" 1
"90" "o2_t2_ap_d1" "o2_t2_rp_d1" 1
